SerialNumber,WentLiveOn
VSH209221,11/13/2012
VSH250401,11/13/2012
VSH209096,11/13/2012
VSH209184_OLD,11/15/2012
VSH209323,11/16/2012
VSH209249OLD,11/26/2012
VSH209236,11/27/2012
VSH209176,11/27/2012
VSH209278_OLD,11/28/2012
VSH209260_OLD,11/28/2012
VSH209224,11/28/2012
VSH209129,11/28/2012
VSH209279_OLD,11/29/2012
VSH209211,12/3/2012
VSH209195,12/3/2012
VSH209223_OLD,12/3/2012
VSH209286,12/3/2012
VSH209247_OLD,12/3/2012
VSH209283,12/4/2012
VSH209281,12/4/2012
VSH209282,12/5/2012
VSH209222_OLD,12/5/2012
VSH209240_OLD,12/6/2012
VSH209290,12/9/2012
VSH209259_OLD,12/10/2012
VSH209196,12/10/2012
VSH319141,12/10/2012
VSH209254,12/10/2012
VSH209231_OLD,12/10/2012
VSH209287,12/10/2012
VSH313199,12/11/2012
VSH209207,12/11/2012
VSH109398,12/11/2012
VSH312475,12/12/2012
VSH209298,12/13/2012
VSH209297,12/13/2012
VSH109399,12/14/2012
VSH209291 ,12/15/2012
VSH209319_OLD,12/17/2012
VSH209335_OLD,12/18/2012
VSH109445,12/18/2012
VSH209323_OLD,12/18/2012
VSH209340_REL,12/28/2012
VSH250239,12/31/2012
VSH209325,1/2/2013
VSH209219,1/2/2013
VSH209331,1/2/2013
VSH109403,1/2/2013
VSH209332,1/2/2013
VSH209280_OLD,1/3/2013
VSH209344_OLD,1/3/2013
VSH209242,1/6/2013
VSH209360,1/7/2013
VSH209354_OLD,1/7/2013
VSH209234_OLD,1/7/2013
VSH209330,1/7/2013
VSH209355_OLD,1/7/2013
VSH209357_OLD,1/7/2013
VSH209028_OLD,1/7/2013
VSH209351,1/7/2013
VSH209322,1/8/2013
VSH209114_OLD,1/10/2013
VSH209343,1/10/2013
VSH209341,1/11/2013
VSH209387,1/14/2013
VSH209190,1/14/2013
VSH209262_OLD,1/14/2013
VSH209296,1/14/2013
VSH209285_OLD,1/14/2013
VSH209379,1/15/2013
VSH209318,1/15/2013
VSH209369,1/16/2013
VSH209352,1/18/2013
VSH209385,1/18/2013
VSH209358_OLD,1/21/2013
VSH209389,1/21/2013
VSH209189,1/21/2013
VSH209182_OLD,1/21/2013
VSH209314,1/21/2013
VSH209288OLD,1/21/2013
VSH209366_OLD,1/22/2013
VSH209356_OLD,1/22/2013
VSH250403,1/23/2013
VSH209393,1/24/2013
VSH209102_OLD,1/25/2013
VSH209042_OLD,1/28/2013
VSH209370_TAP,1/28/2013
VSH209415,1/28/2013
VSH209347_OLD,1/29/2013
VSH209317,1/30/2013
VSH209408,1/31/2013
VSH109408,1/31/2013
VSH2091330,2/1/2013
VSH209377_OLD,2/4/2013
VSH209364_OLD,2/4/2013
VSH209381,2/5/2013
VSH209378,2/5/2013
VSH209255,2/5/2013
VSH209375,2/8/2013
VSH209376,2/8/2013
VSH209396,2/11/2013
VSH209435_OLD,2/11/2013
VSH209367,2/11/2013
VSH209368,2/11/2013
VSH209428,2/11/2013
VSH209363,2/12/2013
VSH209442,2/13/2013
VSH209313_OLD,2/13/2013
VSH209365,2/13/2013
VSH209239,2/13/2013
VSH209237,2/18/2013
VSH209159_OLD,2/19/2013
VSH209432_OLD,2/19/2013
VSH209326,2/19/2013
VSH209429,2/19/2013
VSH209457_OLD,2/19/2013
VSH312529_REL,2/19/2013
VSH209438_OLD,2/20/2013
VSH209374_OLD,2/20/2013
VSH209246_OLD,2/20/2013
VSH209307_OLD,2/21/2013
VSH209430,2/22/2013
VSH209405_OLD,2/22/2013
VSH209409_OLD,2/25/2013
VSH209437,2/25/2013
VSH209443,2/25/2013
VSH209312,2/25/2013
VSH209453,2/25/2013
VSHHQMM01,2/25/2013
VSH209434_OLD,2/26/2013
VSH209372,2/26/2013
VSH209436_OLD,2/26/2013
VSH209398OLD,2/26/2013
VSH209422,2/27/2013
VSH209427-OLD,2/27/2013
VSH209371_OLD,2/28/2013
VSH209250_REL,2/28/2013
VSH209416,3/4/2013
VSH209481,3/4/2013
VSH209433_OLD,3/4/2013
VSH209320_OLD,3/4/2013
VSH109404,3/4/2013
VSH209228,3/4/2013
VSH209192,3/4/2013
VSH209373OLD,3/4/2013
VSH209083,3/4/2013
VSH209431_,3/5/2013
VSH209333,3/5/2013
VSH315090_OLD,3/7/2013
VSH209470_OLD,3/8/2013
VSH209482_REL,3/11/2013
VSH209451_OLD,3/11/2013
VSH209447,3/11/2013
VSH209440,3/11/2013
VSH666999,3/11/2013
VSH209467,3/12/2013
VSH209499,3/13/2013
VSH209483,3/13/2013
VSH209495,3/14/2013
VSH312234,3/14/2013
VSH209087,3/14/2013
VSH209119,3/14/2013
VSH313462,3/15/2013
VSH209480,3/16/2013
VSH314942_REL,3/18/2013
VSH209183_OLD,3/18/2013
VSH209321,3/18/2013
VSH209465_OLD,3/18/2013
VSH209417,3/19/2013
VSH209423,3/20/2013
VSH209505,3/20/2013
VSH209479,3/20/2013
VSH209464_OLD,3/20/2013
VSH209304,3/22/2013
VSH209455,3/24/2013
VSH209553,3/25/2013
VSH209456_OLD,3/25/2013
VSH209459,3/25/2013
VSH209399,3/26/2013
VSH209512OLD,3/26/2013
VSH209303,3/28/2013
VSH209472,3/28/2013
VSH209488,3/30/2013
VSH209489,3/31/2013
VSH209523,4/1/2013
VSH209293_OLD,4/1/2013
VSH209520_REL,4/1/2013
VSH209244,4/1/2013
VSH209516,4/2/2013
VSH250329,4/3/2013
VSH209227_OLD,4/3/2013
VSH209361_OLD,4/3/2013
VSH209468,4/3/2013
VSH209522_OLD,4/3/2013
VSH209492,4/3/2013
VSH209493,4/3/2013
VSH209497,4/3/2013
VSH209515OLD,4/3/2013
VSH209485,4/5/2013
VSH209156,4/8/2013
VSH209500,4/11/2013
VSH209509_OLD,4/14/2013
VSH209419_TAP,4/15/2013
VSH209441,4/15/2013
VSH209527,4/16/2013
VSH209205_OLD,4/18/2013
VSH209413,4/19/2013
VSH209537,4/19/2013
VSH209554_OLD,4/22/2013
VSH209544,4/22/2013
VSH209257,4/22/2013
VSH109402,4/22/2013
VSH209849,4/24/2013
VSH209289_OLD,4/24/2013
VSH209513_REL,4/25/2013
VSH209452,4/25/2013
VSH209529,4/25/2013
VSH322058,4/25/2013
VSH314251,4/26/2013
VSH209510_OLD,4/28/2013
VSH209583_REL,4/29/2013
VSH209519,4/29/2013
VSH209588_,4/30/2013
VSH209394,4/30/2013
VSH209532,5/2/2013
VSH209582_OLD,5/3/2013
VSH209511_OLD,5/5/2013
VSH209337_OLD,5/6/2013
VSH209555,5/6/2013
VSH209248_OLD,5/6/2013
VSH209410,5/6/2013
VSH209521_OLD,5/6/2013
VSH209552,5/6/2013
VSH209551,5/6/2013
VSH209586,5/6/2013
VSH209245,5/6/2013
VSH209581,5/7/2013
VSH209275,5/8/2013
VSH209302XX,5/8/2013
VSH209584_OLD,5/9/2013
VSH209592,5/9/2013
VSH209533,5/13/2013
VSH209610,5/13/2013
VSH109013_OLD,5/13/2013
VSH209528_OLD,5/13/2013
VSH209531_TAP,5/14/2013
VSH209550,5/14/2013
VSH209591,5/15/2013
VSH209593,5/16/2013
VSH209534,5/16/2013
VSH209559,5/16/2013
VSH209602_OLD,5/17/2013
VSH209599,5/17/2013
VSH318639,5/20/2013
VSH209589_OLD,5/20/2013
VSH109431,5/20/2013
VSH209496,5/20/2013
VSH209598,5/20/2013
VSH209498,5/21/2013
VSH209238,5/21/2013
VSH209614,5/22/2013
VSH209135,5/22/2013
VSH209569_OLD,5/22/2013
VSH209568_OLD,5/22/2013
VSH209403,5/23/2013
VSH209400,5/23/2013
VSH209619,5/28/2013
VSH209272_TAP,5/29/2013
VSH209563_OLD,5/29/2013
VSH209639_OLD,5/30/2013
VSH209636,6/3/2013
VSH209666,6/3/2013
VSH209501,6/3/2013
VSH209164,6/3/2013
VSH209665,6/3/2013
VSH209626,6/3/2013
VSH209548,6/5/2013
VSH209424,6/5/2013
VSH209635_OLD,6/5/2013
VSH209562,6/5/2013
VSH209517,6/5/2013
VSH209648_OLD,6/5/2013
VSH209121_OLD,6/5/2013
VSH209615_OLD,6/6/2013
VSH209668,6/7/2013
VSH209625,6/7/2013
VSH209683_OLD,6/7/2013
VSH312588,6/10/2013
VSH209601,6/10/2013
VSH209608,6/10/2013
VSH209612_OLD,6/10/2013
VSH312989,6/10/2013
VSH209600_OLD,6/11/2013
VSH209587_OLD,6/12/2013
VSH310555,6/12/2013
VSH209654_OLD,6/12/2013
VSH209677_OLD,6/12/2013
VSH209502,6/14/2013
VSH209622_OLD,6/14/2013
VSH209629_OLD,6/15/2013
VSH209646_OLD,6/17/2013
VSH209684_REL,6/17/2013
VSH209540,6/17/2013
VSH209662,6/17/2013
VSH209141,6/17/2013
VSH209311_OLD,6/17/2013
VSH209686,6/18/2013
VSH209561,6/19/2013
VSH209212,6/19/2013
VSH209700,6/19/2013
VSH209661_OLD,6/20/2013
VSH314113,6/20/2013
VSH209703,6/20/2013
VSH310263,6/20/2013
VSH209578,6/24/2013
VSH209667,6/24/2013
VSH209714,6/24/2013
VSH209525_REL,6/25/2013
VSH209705_OLD,6/26/2013
VSH311890,6/26/2013
VSH209727OLD,6/26/2013
VSH209727,6/26/2013
VSH209655,6/27/2013
VSH318202,6/27/2013
VSH209641,6/28/2013
VSH209560,6/29/2013
VSH209640,7/1/2013
VSH209710,7/1/2013
VSH209631_OLD,7/1/2013
VSH209209,7/1/2013
VSH209634,7/2/2013
VSH209632,7/2/2013
VSH209649,7/8/2013
VSH209542,7/8/2013
VSH322066,7/8/2013
VSH209702_OLD,7/8/2013
VSH209678,7/8/2013
VSH209722,7/8/2013
VSH209539,7/8/2013
VSH209653,7/9/2013
VSH209687,7/9/2013
VSH250328,7/10/2013
VSH209681_OLD,7/10/2013
VSH209730,7/10/2013
VSH209752,7/10/2013
VSH209181_REL,7/11/2013
VSH209719,7/11/2013
VSH209734,7/12/2013
VSH209739,7/13/2013
VSH209645_OLD,7/15/2013
VSH209704_OLD,7/15/2013
